gpu_model,gpu_count,duration,best_provider,best_region,price_per_gpu_hr,total_cost_usd,timestamp
H100,8,1 hour,Vast.ai,Global,1.25,10.0,
H100,8,1 day,Vast.ai,Global,1.25,240.0,
H100,8,1 week,Vast.ai,Global,1.25,1680.0,
H100,8,1 month,Vast.ai,Global,1.25,7200.0,
H100,16,1 hour,Vast.ai,Global,1.25,20.0,
H100,16,1 day,Vast.ai,Global,1.25,480.0,
H100,16,1 week,Vast.ai,Global,1.25,3360.0,
H100,16,1 month,Vast.ai,Global,1.25,14400.0,
H100,32,1 hour,Vast.ai,Global,1.25,40.0,
H100,32,1 day,Vast.ai,Global,1.25,960.0,
H100,32,1 week,Vast.ai,Global,1.25,6720.0,
H100,32,1 month,Vast.ai,Global,1.25,28800.0,
H100,64,1 hour,Vast.ai,Global,1.25,80.0,
H100,64,1 day,Vast.ai,Global,1.25,1920.0,
H100,64,1 week,Vast.ai,Global,1.25,13440.0,
H100,64,1 month,Vast.ai,Global,1.25,57600.0,
H200,8,1 hour,Nebius,Global,2.3,18.4,
H200,8,1 day,Nebius,Global,2.3,441.6,
H200,8,1 week,Nebius,Global,2.3,3091.2,
H200,8,1 month,Nebius,Global,2.3,13248.0,
H200,16,1 hour,Nebius,Global,2.3,36.8,
H200,16,1 day,Nebius,Global,2.3,883.2,
H200,16,1 week,Nebius,Global,2.3,6182.4,
H200,16,1 month,Nebius,Global,2.3,26496.0,
H200,32,1 hour,Nebius,Global,2.3,73.6,
H200,32,1 day,Nebius,Global,2.3,1766.4,
H200,32,1 week,Nebius,Global,2.3,12364.8,
H200,32,1 month,Nebius,Global,2.3,52992.0,
H200,64,1 hour,Nebius,Global,2.3,147.2,
H200,64,1 day,Nebius,Global,2.3,3532.8,
H200,64,1 week,Nebius,Global,2.3,24729.6,
H200,64,1 month,Nebius,Global,2.3,105984.0,
